Geneid	SRR10379721	SRR10379722	SRR10379723	SRR10379724	SRR10379725	SRR10379726
SAOUHSC_00393	44	25	34	8	9	0
SAOUHSC_00394	9	9	7	8	5	0
SAOUHSC_00395	238	160	162	91	77	17
SAOUHSC_00396	81	51	65	17	16	1
SAOUHSC_00397	41	19	25	3	2	0
SAOUHSC_00398	178	115	141	47	13	4
SAOUHSC_00399	23	7	14	5	3	0
SAOUHSC_00400	66	39	42	7	5	1
SAOUHSC_00401	38	18	45	7	4	0
SAOUHSC_00402	28	11	20	11	3	0
SAOUHSC_00404	105	66	95	64	49	0
SAOUHSC_00405	11	8	12	0	1	0
SAOUHSC_00406	52	37	42	12	4	0
SAOUHSC_00407	138	95	137	21	16	0
SAOUHSC_00408	4673	2237	4008	96	78	2
SAOUHSC_00409	640	372	523	8	3	0
SAOUHSC_00410	1355	1047	1044	184	120	28
SAOUHSC_00411	1856	1764	1479	205	122	25
SAOUHSC_00412	248	195	228	72	31	1
SAOUHSC_00413	104	88	42	297	447	43
SAOUHSC_00414	175	114	118	50	44	21
SAOUHSC_00415	97	77	81	18	11	1
SAOUHSC_00416	33	18	26	5	2	2
SAOUHSC_00417	258	139	178	52	76	20
SAOUHSC_00418	212	137	125	56	42	12
SAOUHSC_00420	165	123	124	41	35	3
SAOUHSC_00421	240	170	190	48	38	3
SAOUHSC_00422	174	110	131	14	13	5
SAOUHSC_00423	245	215	251	72	61	2
SAOUHSC_00424	114	98	65	54	49	8
SAOUHSC_00426	48	56	42	63	85	4
SAOUHSC_00427	156	127	150	24	31	0
SAOUHSC_00428	181	135	161	33	68	8
SAOUHSC_00429	242	205	217	259	318	48
SAOUHSC_00430	320	252	207	227	188	41
SAOUHSC_00431	290	208	217	175	144	12
SAOUHSC_00433	845	493	530	180	105	14
SAOUHSC_00434	225	159	154	73	41	3
SAOUHSC_00435	0	1	3	1	0	0
SAOUHSC_00436	402	279	327	100	110	23
SAOUHSC_T00048	404	256	280	41	47	3
SAOUHSC_00437	124	59	93	19	19	1
SAOUHSC_00438	15	8	18	4	2	0
SAOUHSC_00439	87	43	47	10	4	0
SAOUHSC_00440	193	114	131	28	23	1
SAOUHSC_00441	68	45	41	9	14	2
SAOUHSC_00442	102	55	60	27	12	3
SAOUHSC_00444	9	12	14	1	2	0
SAOUHSC_00445	11	8	1	15	8	23
SAOUHSC_00446	25	14	0	38	10	52
SAOUHSC_R0001	0	0	1	0	0	0
