"gene","per_1","per_2","per_3","control_1","control_2","control_3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SAOUHSC_02580",3905,2988,3175,4600,5600,976,3118.15710580841,-0.187593365393958,0.21111248881766,-0.888594352918576,0.374221127092783,0.465503269575634
"SAOUHSC_02581",9187,6958,6471,13053,16280,2704,7958.44251523035,-0.534027921375135,0.18904248117165,-2.82490960796393,0.00472939560080063,0.0105171096282921
"SAOUHSC_02582",40759,35847,29539,64265,74686,19597,41963.7432492736,-0.79711517409168,0.318055144065691,-2.50621689026053,0.0122030739174787,0.0244529746727067
"SAOUHSC_02583",13919,11475,12006,6093,9114,2553,8586.26186783113,0.788137418686017,0.381228529927604,2.0673621117383,0.0387000455898523,0.0674088185691157
"SAOUHSC_02584",1990,2674,1280,2529,3260,391,1702.18213788091,0.0424173205982741,0.343140183830365,0.12361513631188,0.901620007367377,0.922103344785046
"SAOUHSC_02585",3880,3010,2935,3372,6049,429,2633.57480510944,0.218327509822961,0.332061155964635,0.657491868293721,0.510864697935169,0.593446732912208
"SAOUHSC_02587",469,245,264,1177,1355,88,453.796121480521,-1.20518975851951,0.408475173786432,-2.95046023812853,0.00317300882803838,0.00734461529256047
"SAOUHSC_02588",27,6,11,27,33,7,16.5465791993449,-0.739693117059945,0.601886192857146,-1.22895844071224,0.21908738830461,0.301389447240958
"SAOUHSC_02589",14717,10733,10886,7764,8651,659,7336.86196883195,1.30975686273421,0.351037601131911,3.73110133646918,0.00019064451298123,0.000584926937008215
"SAOUHSC_02590",8001,7515,7257,15733,19934,4762,9976.23960241279,-0.999169538563536,0.314838327284629,-3.17359562662216,0.00150563295034396,0.003772752047359
"SAOUHSC_02591",650,382,417,1148,1744,52,531.856194172405,-0.667678999549106,0.542249674574482,-1.23131286353109,0.218205872621156,0.300710121701024
"SAOUHSC_02592",538,410,352,950,1370,206,551.739132583636,-0.968607066927824,0.216213297544882,-4.47986815763152,7.46891594267451e-06,3.06624835319546e-05
"SAOUHSC_02593",255,236,167,867,1131,62,337.927396973043,-1.37234656925019,0.423081524056284,-3.24369297929356,0.00117990852586625,0.00304262549972962
"SAOUHSC_02594",695,545,433,2439,5024,476,1283.09619783139,-2.12611703278832,0.29960094152224,-7.09649649959625,1.27959186391435e-12,1.56855134116449e-11
